,Title
1026,[Lectures on the Philosophy of the Human Mind
1027,[Tom Brown's School Days
1028,Select Views of the Royal Palaces of Scotland 
1029,Memorials of a Short Life
1030,A Description of an Historical Chart of Asia 
1031,Songs of Many Seasons 
1032,"Lambeth Palace, and its Associations "
1033,Lyrical and Dramatic Poems selected from the works of Robert Browning
1034,Selections from the Poetry of Robert Browning
1035,Pomegranates from an English Garden: a selection from the poems of Robert Browning
1036,Poems 
1037,The Best of Browning
1038,Dramas 
1039,Selections from Browning
1040,Ausgewählte Gedichte 
1041,[Strafford: an historical tragedy
1042,[The Pied Piper of Hamelin
1043,A Few Impressions from the Poems of Robert Browning by Emily Atkinson
1044,"Reminiscences of Kaffir Life and History, and other papers "
1045,"Histoire de Bicêtre, hospice, prison, asile "
1046,"Memoir regarding Bruce's Journies and Drawings in Northern Africa, etc"
1047,[Bruce's Travels and Adventures in Abyssinia
1048,Sacred Poems 
1049,Cicero num Catilinam repetundarum reum defendit?
1050,The Child of Nature
1051,"Путешествіе Гилльбера Де ланнуа по южной Россіи, въ 1421-мъ году"
1052,"Le Vere lode de la inclita et gloriosa città di Firenze, composte in latino da Leonardo Bruni e tradotte in volgare da frate Lazaro da Padova"
1053,[Asisi città serafica e santuarj che la decorano 
1054,Enevældens Indførelse i Danmark og Kongelovens Tilblivelse
1055,[Précis de la géographie universelle
1056,Géographie complète et universelle 
1057,[Géographie complète et universelle 
1058,Malte-Brun
1059,"Universal Geography, or a Description of all parts of the world on a new plan, etc"
1060,"[Universal Geography, or a Description of all parts of the world on a new plan, etc"
1061,The Cave Dwellers of Southern Tunisia 
1062,[America
1063,The Peary Auxilary Expedition of 1894 
1064,A Popular History of the United States from the first discovery of the western hemisphere 
1065,The Flood of Years
1066,"[A Cyclopædia of Geography, descriptive and physical, forming a new general gazetteer of the world and dictionary of pronunciation, etc"
1067,"[A Cyclopædia of Geography, descriptive and physical, forming a new general gazetteer of the world and dictionary of pronunciation, etc"
1068,"Bubble and Squeak, a gallimaufry of British beef with the chopp'd cabbage of Gallic philosophy and Radical reform"
1069,Leisure Lays 
1070,"The Franciscan Friar, a satire; and the Marriage Ode of Francis of Valois and Mary, sovereigns of France and Scotland: translated into English verse "
1071,[Buchanan's History of Scotland 
1072,"The History of Scotland, translated from the Latin "
1073,"The History of Scotland, translated "
1074,"[The History of Scotland, translated "
1075,"The Shirè Highlands, East Central Africa, as Colony and Mission"
1076,North Coast and other poems 
1077,The Charlatan
1078,"Histoire parlementaire de la Révolution française, ou Journal des Assemblées nationales depuis 1789 jusqu'en 1815"
1079,Die Wiener October-Revolution
1080,The Great Plantagenet
1081,"The Italians; or, the Fatal Accusation: a tragedy"
1082,"Statement of Facts, relative to the Removal from India of Mr"
1083,"Memoirs of Mary Stuart, Queen of Scotland"
1084,[Geology and Mineralogy considered with reference to Natural Theology
1085,Histoire de la civilisation en Angleterre
1086,Henry Thomas Buckle's Geschichte der Civilisation in England
1087,Historya cywilizacyi w Anglii
1088,The Bud and the Flower
1089,"[Good Order established in Pennsilvania & New-Jersey in America, being a true account of the country; with its produce and commodities there made, etc"
1090,Von den Vogesen zum Balkan
1091,"Hamburg und seine Umgebungen, im 19teⁿ Jahhrundert "
1092,Der wahre Winkelried
1093,Sebastian Bürster's Beschreibung des Schwedischen Krieges 1630-1647
1094,Anhalts Bau- und Kunst-Denkmäler
1095,Bührmann's Geschiedenis van ons Vaderland van de vroegste tijden tot op heden
1096,"A Winter in the Azores, and a summer at the baths of the Furnas"
1097,"An account of the family of Laplanders; which, with their "
1098,Colliery Working and Management 
1099,[The Caxtons
1100,[The Caxtons
1101,"Kenelm Chillingly, his adventures and opinions"
1102,[The Last Days of Pompeii 
1103,[The Last of the Barons
1104,The Parisians 
1105,[Paul Clifford 
1106,Pausanias the Spartan
1107,"Paolina Deschappelles, ovvero la Signora di Lione "
1108,A Bundle of Sonnets
1109,"Liv-, esth- und curländisches Urkundenbuch nebst Regesten"
1110,[Jem Bunt 
1111,"Travels in Arabia, comprehending an account of those territories in Hedjaz which the Mohammedans regard as sacred"
1112,The Niger and the Benueh
1113,Oranje en Nederland
1114,Om orsakerna till Konung Carl X Gustafs anfall på Danmark i Augusti 1658
1115,Karlsbad's grosse Ueberschwemmung im Jahre 1582
1116,[The Birth and Triumph of Love: a poem
1117,"[A Guide to Burghley House, Northamptonshire, the seat of the Marquis of Exeter; containing a catalogue of all the paintings, antiquities, &c"
1118,[The Works of the Right Honourable Edmund Burke
1119,Burke's Letters on a Regicide Peace
1120,Extracts from Burke's Earlier Writings
1121,Business and Pleasure in Brazil
1122,"An Account of the Burman Empire and the kingdom of Assam, etc: Appendix"
1123,"Anteckningar, förda under tiden från år 1785 till år 1816 jemte relation om Savolaksbrigadens operationer under 1808 och 1809 års krig, etc"
1124,[Physikalische Beschreibung der Argentinischen Republik
1125,Narrative of the Captivity of an Officer who fell into the hands of the Burmāhs during the late war
1126,Our Radicals
1127,The Z
1128,The Doom of St
1129,The Shadow Witness 
1130,"[The Works of Robert Burns; with an account of his life, and a criticism on his writings"
1131,"[The Works of Robert Burns; with an account of his life, and a criticism on his writings"
1132,"[The Works of Robert Burns, with an account of his life, criticism on his writings, &c"
1133,"The Works of Robert Burns; containing his life; by John Lockhart, Esq"
1134,"The Poems, Letters, and Land of Robert Burns: illustrated by W"
1135,"The Works of Robert Burns; with a complete life of the poet [by James Currie], and an essay on his genius and character, by Professor Wilson, etc"
1136,The Works of Robert Burns
1137,The National Burns
1138,The Complete Works of Robert Burns 
1139,The Works of Robert Burns
1140,The Life and Works of Robert Burns
1141,[The Life and Works of Robert Burns
1142,"Poems by Robert Burns: with an account of his life [by Josiah Walker], and miscellaneous remarks on his writings"
1143,The Poetical Works of Robert Burns
1144,The Poetical Works of Robert Burns
1145,The Poetical Works of Robert Burns
1146,The Poetical Works of Robert Burns
1147,The Poetical Works of Robert Burns
1148,"The Poetical Works of Robert Burns; with memoir, prefatory notes, and a complete marginal glossary"
1149,"Burns Holograph Manuscripts in the Kilmarnock Monument Museum, with notes"
1150,"The Poetical Works of Robert Burns; with memoir, prefatory notes, and a complete marginal glossary"
1151,The Poems and Songs of Robert Burns
1152,The Poetical Works of Robert Burns
1153,Selections from the Poems of Robert Burns
1154,Burns in English
1155,Lieder und Balladen des Schotten Robert Burns
1156,Tam o' Shanter; a tale
1157,"Robert Burns, 1759-1796: Appendix"
1158,"The Churchwardens' Accounts of the Parish of Burnsall-in-Craven, 1704 1769"
1159,La Bretagne catholique
1160,Indian Memories
1161,The Parish Priest: a poem
1162,[Historical Remarques and Observations of the Ancient and Present State of London and Westminster 
1163,"The Jew, the Gypsy, and El Islam "
1164,[The Kasîdah (couplets) of Hājî Aboû El-Yezdî: a lay of the Higher Law
1165,Voyage aux grands lacs de l'Afrique Orientale 
1166,[Personal Narrative of a Pilgrimage to El-Medinah and Meccah
1167,Unexplored Syria
1168,"Buzz a Buzz; or, the Bees"
1169,The Pictorial History of France and of the French People 
1170,Campañas del General D
1171,Diario Histórico de México 
1172,El Gabinete Mexicano durante el segundo periodo de la administracion del Exmo
1173,Ensayo historico de la defensa de Buenos Aires contra la rebellion del ex-coronel D
1174,"Travels through France & Italy, and part of Austrian, French, & Dutch Netherlands, during the years 1745 and 1746"
1175,[An Account of the Life and Writings of the Rev
1176,"[The Geography of the Globe, containing a description of its several divisions of land and water, to which are added problems on the terrestrial and celestial globes, etc"
1177,"An Appeal from the Misrepresentations of James Hall, respecting the history of Kentucky and the West "
1178,[A Sketch of Modern and Antient Geography 
1179,[A Sketch of Modern Geography 
1180,The Poetical Works of Samuel Butler
1181,The Genuine Remains in Verse and Prose of Mr
1182,The Genuine Poetical Remains of Samuel Butler
1183,[Hudibras 
1184,Butlers Hudibras
1185,The Golden Butterfly
1186,"A History and Description of the Towns and Parishes of Stockport, Ashton-under-Lyne, Mottram-long-den-dale, and Glossop, with some Memoirs of the late F"
1187,Journal de la Régence-1715-1723 
1188,On Either Side of the Red Sea
1189,Записки старой смолянки Императорскаго В
1190,Wildes Leben im Innern von Central-Amerika 
1191,"Het Diplomatisch beleid van Hieronymus van Beverningk, gedurende de jaren 1672-1678"
1192,"A Romance of the Fair, and other stories"
1193,History of the Dividing Line and other tracts [viz
1194,Voyage of H
1195,The Complete Works of Lord Byron
1196,"The Complete Works of Lord Byron, reprinted from the last London edition, containing besides the notes and illustrations by Moore, Walter Scott [and others] "
1197,The Poetical Works of Lord Byron
1198,"The Works of Lord Byron: with a life and illustrative notes, by William Anderson"
1199,The Poetical Works of Lord Byron
1200,The Poetical Works of Lord Byron
1201,The Poetical Works of Lord Byron
1202,[The Poetical Works of Lord Byron
1203,The Complete Poetical Works of Lord Byron
1204,"[Œuvres complètes de Lord Byron, traduites de l'anglais par MM"
1205,"Œuvres complètes de Lord Byron, avec notes et commentaires, comprenant ses mémoires publiés par Thomas Moore, et ornées d'un beau portrait de l'auteur"
1206,"Œuvres complètes de Lord Byron, traduction nouvelle, d'après la dernière édition de Londres, par Benjamin Laroche "
1207,Œuvres complètes de Lord Byron
1208,"Œuvres de Lord Byron, traduites en vers français par Orby Hunter & Pascal Ramé: Works"
1209,[Poems on his Domestic Circumstances
1210,Byron's Prisoner of Chillon und Siege of Corinth
1211,Byron-Anthologie
1212,"Poemi di Giorgio Lord Byron, recati in italiano da Giuseppe Nicolini"
1213,"Caïn, mystère dramatique en trois actes "
1214,Italia
1215,[Childe Harold's Pilgrimage
1216,Ritter Harold's Pilgerfahrt 
1217,Childe Harold
1218,"Il Corsaro, novella di Lord Byron; versione in prosa di L"
1219,Don Żuan Lorda Bajrona
1220,[A Sequel to Don Juan
1221,"Second edition, with considerable additions and alterations: Single Works"
1222,A fac-simile reprint of the suppressed edition of 1806
1223,Hebrew Melodies: Single Works
1224,Lamento del Tasso 
1225,"Manfred, poëme dramatique "
1226,Ὁ Μαμφρεδ
1227,The Knight's Tour in a continuous and uninterrupted ride over 48 boards or 3072 squares
1228,"[The prisoner of Chillon, and other poems"
1229,Sardanapal 
1230,A' miei amici
1231,"Arnaldo; Gaddo; and other unacknowledged poems; by Lord Byron, and some of his contemporaries; collected [or rather, written] by Odoardo Volpi [pseudonym of Edward N"
1232,"Lord Byron's Farewell to England; with three other poems, viz"
1233,"[Lord Byron's Farewell to England; with three other poems, viz"
1234,Lord Byron's Pilgrimage to the Holy Land
1235,"The Shade of Byron: a mock heroic poem, containing strange revelations not hitherto disclosed, with copious notes and references "
1236,"Historical Illustrations of Lord Byron's Works, in a series of etchings, by Reveil, from original paintings, by A"
1237,"[Aladdin; or, the Wonderful scamp! An original burlesque extravaganza, in one act"
1238,"[Aladdin; or, the Wonderful scamp! An original burlesque extravaganza, in one act"
1239,"[The Rosebud of Stingingnettle Farm; or, the Villanous squire and the virtuous villager, etc"
1240,[Sveriges lastageplatser
1241,Athanasion
1242,Rough Pencillings of a Rough Trip to Rangoon in 1846
1243,Rural Life in Bengal; illustrative of Anglo-Indian suburban life; more particularly in connection with the planter and peasantry 
1244,Rome
1245,"Sylla's Ghost: a satyr against ambition, and the last horrid plot"
1246,[Notes on the North-Western Provinces of India
1247,"Notes and Various Readings to Shakespeare, part the first containing, All's Well that ends Well, Anthony and Cleopatra "
1248,"The Mélange, containing the Lunarian, a tale, in five cantos"
1249,Breaking the Line
1250,"A Tribute to the Principles, Virtues, Habits and Public Usefulness of the Irish and Scotch early settlers of Pennsylvania"
1251,[The Antiques of Marlborough College
1252,Peter Little and the Lucky Sixpence; The Frog's Lecture; and other stories
1253,"Alcilia, Philoparthens Louing Follie "
1254,Birkheda Vicarage; the story of a woman's influence
1255,"Election Squibs, Ballads & Broadsides, with other impromptu verses, by J- C- [i"
1256,"Love in the East; or, Adventures of twelve hours"
1257,"The United States and Canada, as seen by two brothers [J"
1258,A Few Indian Stories
1259,[The Idyll of the White Lotus
1260,An Illustrated History of Ireland: from the earliest period
1261,Memorie ecclesiastiche e civili di Città di Castello
1262,The Legend of Naworth
1263,The History of South America 
1264,"Extempore to Walter Scott, Esq"
1265,A Descriptive Tour in Scotland
1266,"Tableau général de la Russie moderne, et situation politique de cet empire au commencement du XIXe siècle; par V"
1267,"A Poem humbly inscrib'd to His Grace the Duke of Marlborough, occasion'd upon his repeated victories in Flanders"
1268,Who Killed Cockatoo
1269,St
1270,"Romances of the Wheel, a collection of romantic cycling tales"
1271,The Alvareda Family
1272,Estudios sobre Carolinas
1273,"The Cabinet; or, the Selected beauties of literature"
1274,"The Cabinet of Genius containing frontispieces and characters adapted to the most popular poems, &c"
1275,"Richard Cable, the Lightshipman"
1276,[A Memoir of Sebastian Cabot; with a review of the history of maritime discovery
1277,[Navigations de Alouys de Cademoste
1278,Worthy
1279,Sir John Cope and the Rebellion of 1745
1280,Drawing-Room Plays
1281,"Cælia: or, the Perjur'd lover"
1282,Cæsar's Commentaries on the Gallic War
1283,Caesar's Seventh Campaign in Gaul
1284,"The Cagot; or, Heart for heart"
1285,"Narrative of a Journey round the Dead Sea and in Bible Lands, in 1850 and 1851 "
1286,"The Maid and the Magpye; or, which is the Thief? A musical entertainment, in two acts"
1287,"Journal d'un voyage à Temboctou et à Jenné, dans l'Afrique centrale "
1288,Codogno e il suo territorio nella cronaca e nella storia
1289,"Calabria, during a Military Residence of Three Years: in a series of letters by a General Officer of the French Army"
1290,"[Sketch of the Civil and Traditional History of Caithness, from the Tenth Century"
1291,The Way about Herefordshire 
1292,The Caledonian Comet
1293,The Caledonians: a poem
1294,The Golden Calf
1295,Calcoen
1296,"[An Historical Discourse on the Civil and Religious Affairs of the Colony of Rhode-Island and Providence Plantations in New-England in America, from the first settlement 1638 to the end of first century"
1297,F
1298,"[Home-Theatricals made Easy, or, Busy, happy, and merry"
1299,"History of the County of Annapolis, including old Port Royal and Acadia, with memoirs of its representatives in the Provincial Parliament "
1300,"Orpheus and Eurydice, an English Musical Drama, etc"
1301,The Literary Remains of Charles Stuart Calverley
1302,My Fourth Tour in Western Australia 
1303,[Notas de viage-Colombia y Estados Unidos de America
1304,Cambrian Tales
1305,"[The Cambrian Tourist; or, Post-Chaise companion through Wales "
1306,"The Poll on the Election of a Representative in Parliament, for the County of Cambridge "
1307,An Artist's Rambles in Cambridgeshire
1308,"Two Cousins and a Castle, etc"
1309,A travers l'Afrique
1310,Urkundliche Beiträge zur Geschichte Wien's im XVI
1311,Camille's Tormentor
1312,[The Camp of Refuge
1313,[The Camp of Refuge
1314,"Description of the Province of New Sweden, now called "
1315,An Introduction to the History of Poetry in Scotland from the beginning of the thirteenth century to the present time; with a conversation on Scotish song 
1316,"A Voyage round the World, from 1806 to 1812 "
1317,Deilie Jock
1318,Letters from Camp to his Relatives during the Siege of Sebastopol
1319,"De Puriteinen in Nederland, Engeland en Amerika "
1320,Exploration of Lake Superior
1321,"The Case of Mary Queen of Scots, and of Elizabeth Queen of England, legally, briefly, and historically stated: embracing the amorous life of the Virgin Queen, and identifying her with all the plans that led to Mary's ruin and murder"
1322,"Lost among the Affghans: being the adventures of John Campbell, otherwise Feringhee Bacha, amongst the wild tribes of Central Asia"
1323,"[Lost among the Affghans: being the adventures of John Campbell, otherwise Feringhee Bacha, amongst the wild tribes of Central Asia"
1324,The Poetical Works of Thomas Campbell
1325,The Poetical Works of Thomas Campbell
1326,The Complete Poetical Works of Thomas Campbell
1327,The Campbells
1328,"Dagboek van Cornelis en Philip van Campene, behelzende het verhaal der merkwaardigste gebeurtenissen, voorgevallen te Gent sedert het begin der godsdienstberoerten tot den 5en April 1571 "
1329,Brieven uit Engeland aan mijn' vriend Z
1330,Notizie storiche del Frignano
1331,The Flower of a Day 
1332,"Lettres sur Rome, précédés d'une étude biographique sur l'auteur par M"
1333,"A Political and Historical Account of Lower Canada; with remarks on the present situation of the people, as regards their manners, character, religion &c"
1334,"The Canadian Handbook and Tourist's Guide, etc"
1335,"Le Voyage du Levant de Philippe du Fresne-Canaye, 1573"
1336,Weyler
1337,Narrative of a Recent Visit to Brazil 
1338,[The History of the Williamite and Jacobite Wars in Ireland; from their origin to the capture of Athlone
1339,Histoire de la ville de Pont-Audemer
1340,[Lehrbuch der Geographie nach den neuesten Staatsverträgen
1341,Illustrated Official Handbook of the Cape and South Africa
1342,[Illustrated Official Handbook of the Cape and South Africa
1343,State of the Cape of Good Hope in 1822
1344,The Duke of Edinburgh in Ceylon
1345,The Shores and Cities of the Boden See
1346,Historia de México desde los primeros tiempos de que hay noticia hasta mediados del siglo XIX
1347,L'Abbaye de Saint-Vaast
1348,The Cardinal
1349,"Two Centuries of Soho: its institutions, firms, and amusements"
1350,Berlijn 
1351,Christy Carew
1352,[Pacata Hibernia
1353,"The Chin Hills: a history of the people, our dealings with them, their customs and manners, and a gazetteer of their country"
1354,Barbara Heathcote's Trial 
1355,Robert Ord's Atonement
1356,"A History of Carisbrook Castle, Isle of Wight, with an account of the imprisonment of King Charles I"
1357,"The Hand of Destiny; or, the Life of Marianne "
1358,"The Evil Eye; or, the Black spectre"
1359,[Traits and Stories of the Irish Peasantry 
1360,Carletto
1361,"A Vindication of Ancient Orthodoxy, in reply to “The Design of the Gospel, and the relation, which the sufferings and sacrifice of Christ sustain thereto,” as set forth in “Tract No"
1362,Chronicles of Carlingford
1363,[Chronicles of Carlingford
1364,"History of Carlisle, Past and Present, and guide to strangers"
1365,Sveriges historia under konungarne af pfalziska huset
1366,"Monte Carlo, a musical comedy"
1367,Die Französische Revolution 
1368,The Battles of Frederick the Great
1369,The Hero as Divinity
1370,The Carlyle Anthology
1371,The Carlyle Reader
1372,Thoughts on Life 
1373,Carlyon's Year
1374,Royal Charters and Historical Documents relating to the Town & County of Carmarthen and the Abbeys of Talley and Tygwyn-ar-Daf
1375,"[Syria, the Holy Land, Asia Minor, &c"
1376,"[Syria, the Holy Land, Asia Minor, &c"
1377,Travels in Indo-China and the Chinese Empire 
1378,"Nozze Donzelli-Ferroni, Febraio 1886"
1379,Bygone Florence 
1380,Sefton
1381,"Voyages and Travels of Her Majesty, Caroline Queen of Great Britain: including visits to various parts of Germany, France, Italy, Greece, Palestine, &c"
1382,"Voyages and Travels of Her Majesty, Caroline Queen of Great Britain: including visits to various parts of Germany, France, Italy, Greece, Palestine, &c"
1383,L'Administration des États de Bretagne de 1493 à 1790
1384,Claim of De Beaumarchais' Heir [A
1385,Across the Carpathians
1386,Longmans' English Classics
1387,North Italian Folk
1388,"The Literary Pancratium; or a Series of dissertations on theological, literary, moral, and controversial subjects"
1389,"Anales de la Ciudad del Rosario de Santa Fé, con datos generales sobre historia argentina 1527-1865"
1390,De la Sénégambie française
1391,Dartmoor: a descriptive poem 
1392,"Three Sunsets, and other poems "
1393,"Notes on Carrow Priory, commonly called Carrow Abbey"
1394,"The History of Scotland, during the life of Queen Mary, and until the accession of her son James to the crown of England"
1395,Carry's Confession
1396,"[The History of the County of Cambridge from the earliest account to the present time, etc"
1397,[A Summer Cruise on the Coast of New England
1398,"A History, topographical, archæological, genealogical, and biographical, of the parishes of West and East Bradenham, with those of Necton and Holme Hale, in the County of Norfolk "
1399,Cartouche
1400,"Descubrimiento del río de las Amazonas, según la relación hasta ahora inédita de Fr"
1401,Ten Years in Equatoria and the Return with Emin Pasha 
1402,Chronicles of Casco Bay
1403,The Antiquarian Casket; consisting of representations and descriptions of: 1
1404,"The Casket, a miscellany consisting of unpublished poems"
1405,"Le Monde, histoire de tous les peuples depuis les temps les plus reculés jusqu'à nos jours, par MM"
1406,"Storia di Torre del Greco, con prefazione di R"
1407,Old Rome and New Italy
1408,Vers le Nil français avec la mission Marchand
1409,A Senhora Rattazzi
1410,"Agnes de Castro, a tragedy "
1411,"Descrizione di Catania, etc"
1412,"The Catch Club: a collection of all the songs, catches, glees, duets, &c"
1413,"Great Catches; or, Grand matches"
1414,"The History of Margaret Catchpole, a Suffolk girl"
1415,Neêrland's glorie
1416,A Bridal Ode on the Marriage of Catherine and Petruchio
1417,The Handbook to Llandudno 
1418,The History of Oswestry 
1419,"Sketching Rambles; or, Nature in the Alps and Apennines "
1420,[The Great Civil War of Charles I
1421,"Кавказскій Сборникъ, издаваемый по указанію "
1422,Korea and the Sacred White Mountain 
1423,Det danske Vestindien 
1424,"Adventures of an Author; or, the Westmoreland novelist"
1425,"A Dialogue in the Shades, between William Caxton, Fodius, a bibliomaniac, and William Wynken, Clerk, a descendant of Wynken de Worde: to which is added, the Story of Dean Honywood's Grubs"
1426,[Neue Reise nach Cayenne
1427,Histoire des Invalides 
1428,A Dialogue between the Earl of C-d [Chesterfield] and Mr
1429,Cecil's Tryst
1430,"Är svenska folket verkligen så fysiskt och moraliskt förderfvadt, som Herr Prof"
1431,"The Conspiracy of Gianluigi Fieschi, or, Genoa in the sixteenth century"
1432,"Narrative of an Expedition from Tripoli in Barbary, to the Western Frontier of Egypt, in 1817, by the Bey of Tripoli "
1433,"A proposito dei due globi mercatoriani, 1541-1551"
1434,Logroño
1435,[Commentaria in Ludovici Vives Exercitationes Linguae Latinae
1436,The Health of Nations
1437,Histoire primitive des Euskariens-Basques
1438,"The Three Prophets: Chinese Gordon, Mohammed-Ahmed-El Maahdi, Arabi Pasha"
1439,The Colonisation of Indo-China
1440,An Appendix to the Supplemental Apology for the believers in the supposititious Shakspeare papers: being the documents for the opinion that Hugh McAuley Boyd wrote Junius's Letters: A Supplemental Apology for the believers in the Shakspeare-Papers: being a reply to Mr
1441,"Proceedings at Peebles, Wednesday, August 4, 1841, on entertaining and presenting the freedom of the burgh to Messrs"
1442,"An Heroic Postscript to the public, occasioned by their favourable reception of a late Heroic Epistle to Sir William Chambers "
1443,"Voyage autour du monde, contenant la description géographique et pittoresque des divers pays "
1444,"Miscellanies, in verse and prose, English and Latin "
1445,Œuvres de Champlain
1446,Chronicle of the Coach
1447,A Quiet Corner of England
1448,Chances and Changes; a story of love and friendship
1449,"History of Compton County, and sketches of the Eastern Townships, District of St"
1450,Chantrey's Peak Scenery or Views in Derbyshire
1451,The Two Families: an episode in the history of Chapelton
1452,The Chaplet
1453,"[The Conspiracie, and Tragedie of Charles Duke of Byron, Marshall of France"
1454,The Ball
1455,"The Parriad, addressed to the editor of Bellendene [S"
1456,An Episcopal Charge
1457,"Two Copies of Verses, on the Meeting of King Charles the First and his Queen Henrietta-Maria, in the Valley of Kineton, below Edge-Hill, in Warwickshire, July 13, 1643"
1458,"The Court and Times of Charles the First; illustrated by authentic and confidential letters, from various public and private collections; including memoirs of the mission in England of the Capuchin Friars "
1459,King Charles the First: an historical tragedy
1460,[An Account of the Preservation of King Charles II
1461,"[Tableau politique des règnes de Charles II et de Jacques II, derniers rois de la maison de Stuart; précédé d'une troisième édition de l'Essai sur les causes, qui, en 1649, amenèrent en Angleterre l'établissement de la République; sur celles qui devaient l'y consolider; sur celles qui l'y firent périr"
1462,King Charles the Second and the Cogans of Coaxdon Manor
1463,[L'Invasion anglaise dans le Maine de 1417 à 1428
1464,History and General Description of New France 
1465,Charlotte's Inheritance
1466,Tropical Flowers for Charlotte
1467,Burghley
1468,Five Months at Cairo and in Lower Egypt
1469,[The Ancient Cities of the New World
1470,"On the Physical, Mental, and Philological Characters of the Wallons, etc"
1471,Dictionnaire historique de toutes les communes du département de l'Eure
1472,"A History of Dartmouth College and the Town of Hanover, New Hampshire "
1473,"The Cape of Good Hope and the Eastern Province of Algoa Bay, &c"
1474,History of the Polk Administration
1475,"La Hongrie, son génie et sa mission"
1476,Les Volontaires nationaux pendant la Révolution
1477,"A Descriptive Catalogue of Chateau Malet, the residence of Sir Edward and Lady Ermyntrude Malet, etc"
1478,"Travels in Greece, Palestine, Egypt, and Barbary, during the years 1806 and 1807 "
1479,"[Travels in Greece, Palestine, Egypt, and Barbary, during the years 1806 and 1807 "
1480,The Man of Many Daughters 
1481,"Mémoire historique sur les châteaux, citadels, forts et villes de Mézières, Charleville et le Mont-Olympe "
1482,[The Canterbury Tales of Chaucer
1483,The Canterbury Tales
1484,The Loves of Toilus and Creseid 
1485,Chaucer for Children
1486,Chaucer's Beads
1487,The Chaucer Birthday Book
1488,The Complaint of the Black Knight from Chaucer
1489,Jan Mayen und die österreichische arktische Beobachtungsstation 
1490,[The Cheats
1491,[The Cheats
1492,[Wanderings of a Pilgrim in the Shadow of Mont Blanc and the Jungfrau Alp
1493,"Саратовское Поволжье съ древнѣйшихъ временъ, до конца XVII вѣка"
1494,"Königlichen Schwedischen in Teutschland geführten Kriegs dritter (vierter) Theil, etc"
1495,An Essay upon National Character: being an inquiry into some of the principal causes which contribute to form and modify the characters of nations in the state of civilisation
1496,Notice historique sur le château de Chenonceaux
1497,"Songs, Duets, Trios, Chorusses, &c"
1498,"[Cherry & Violet, a tale of the Great Plague"
1499,"[Cherry & Violet, a tale of the Great Plague"
1500,"Le Voyage de Monsieur d'Aramon, Ambassadeur pour le Roy en Levant "
1501,Clara Chester; a poem
1502,John Ellicombe's Temptation 
1503,Archives du château de Chenonceau
1504,Promenades pittoresques en Touraine
1505,Tours capitale
1506,"Études sur la Touraine; hydrographie, géologie, agronomie, statistique, etc"
1507,"Society, Manners and Politics in the United States being a series of letters on North America "
1508,La Bretagne ancienne et moderne 
1509,"Chalon-sur-Saône, pittoresque et démoli"
1510,Romantic India
1511,"[[The Chichester Guide: containing, an account of the antient and present state of the City of Chichester and its neighbourhood, etc"
1512,"[[The Chichester Guide: containing, an account of the antient and present state of the City of Chichester and its neighbourhood, etc"
1513,[The Collier's Wedding 
1514,Quattro documenti d'Inghilterra ed uno di Spagna dell'Archivio Gonzaga di Mantova
1515,Otto mesi d'Africa
1516,Saint-Omer assiégé et delivré l'an 1638
1517,"[New Englands Jonas Cast up at London: or, a Relation of the Proceedings of the Court at Boston in New-England against divers honest and godly persons, for petitioning for government in the common-wealth, according to the lawes of England, and for admittance of themselves and children to the sacraments in their churches "
1518,Childhood Valley
1519,The History of Chilton in the County of Bukingham
1520,The Chimneys Scuffle
1521,The Chinese in California
1522,Wonderful Ching-Ching
1523,Le Castella di Spalato e Traú
1524,Choice extracts from British authors
1525,"Monographie de Dompierre-sur-Mer, Charente-Inférieure, etc"
1526,Voyage dans les mers du Nord à bord de la corvette la Reine Hortense par M
1527,An Answer to James Walker's Reply to the “Peep at the Borough of Whitby
1528,Dyaryusz wojewody witepskiego J
1529,Christ Church Days
1530,The Frontier Lands of the Christian and the Turk; comprising travels in the regions of the Lower Danube in 1850 and 1851
1531,"Beard-Shaving, and the Common Use of the Razor, an Unnatural, Irrational, Unmanly, Ungodly, and Fatal Fashion among Christians"
1532,Christie's Faith
1533,The Controversy of Zion
1534,Wedded to a Genius
1535,Au Sud de l'Afrique
1536,Beyond the Church
1537,Church and Chapel
1538,No Church
1539,The Old Grey Church
1540,"The History of the Great Indian War of 1675 and 1676, commonly called Philip's War"
1541,The History of King Philip's War
1542,"The Poetical Works of Charles Churchill, with explanatory notes; and an authentic account of his life, etc"
1543,The Poetical Works of Charles Churchill
1544,"Churchill Defended, a poem: addressed to the Minority"
1545,"Puttyput's Protégée: a story, in three books "
1546,"The Letters and Dispatches of John Churchill, first Duke of Marlborough, from 1702 to 1712"
1547,A Poem on his Grace the Duke of Marlborough's Return from his German Expedition: Appendix
1548,A Churchman's Second Epistle
1549,"Religio Clerici, a churchman's epistle"
1550,"Churchyard's Chips concerning Scotland: being a collection of his pieces relative to that country, with historical notices, and a life of the author "
1551,Remains of W
1552,"Svenska expeditionen till Spetsbergen år 1861, under ledning af Otto Torell"
1553,M
1554,[M
1555,M
1556,M
1557,[M
1558,Il Sogno di Scipione voltato in Greco per Massimo Planude e fatto volgare per M
1559,M
1560,M
1561,The Tusculan Disputations of Cicero
1562,"Extracts from and Observations on Cicero's Dialogues De Senectute and De Amicitia, and a translation of his Somnium Scipionis, with notes &c"
1563,Cicero
