,Authors	Contributors,Author,Contribututors
2396,,"ELLIS, George James Welbore Agar ","MATTIOLI, Ercole Antonio "
2397,,"ELLIS, James ","FENWICK, John "
2398,,"ELLIS, James ","F., J."
2399,,"ELMES, James.","SHEPHERD, Thomas Hosmer."
2400,,"ELMES, James.","SHEPHERD, Thomas Hosmer."
2401,,,"ROBINSON, Frederick William."
2402,,"ELSDEN, James Vincent ","LOWE, Walter Bezant."
2403,,"ELWES, Dudley George Cary.","ROBINSON, Charles John."
2404,,"ELY, Alfred ","LANMAN, Charles."
2405,,"ELYOT, Thomas ","ELIOT, Arthur Turberville."
2406,,,"LEECH, John "
2407,,,"CASSELL, John."
2408,,,"PAGE, Frederick "
2409,,"ÉNAULT, Louis.","JANET, Gustave."
2410,,"ÉNAULT, Louis.","ROUARGUE, Émile "
2411,,,"PRESTWICH, Grace Anne "
2412,,"ENGEL'GARDT, Aleksandr Platonovich.","COOKE, Henry "
2413,,,"CHADWICK, Edwin "
2414,,,"WATSON, Jean L."
2415,,,"HASLEWOOD, Joseph."
2416,,"ENGLISH, William Hayden.","Clark, George Rogers"
2417,,"ENNEN, Leonard ","ECKERTZ, Gottfried."
2418,,"ENNERY, Jonas ","CUVIER, Charles Chrétien Léopold."
2419,,,"TODDLES, Tommy "
2420,,,"BICKERSTAFFE, Isaac."
2421,,,"THOMPSON, William "
2422,,,"PATERSON, Robert "
2423,,,"TICKELL, Thomas."
2424,,,"DODD, William "
2425,,,"GARDINER, Marguerite "
2426,,,"Pownall, Henry."
2427,,"ERASMUS, Sarel.","BLACKBURN, Douglas."
2428,,,"BERGER, Ernst Hugo."
2429,,"ERBEN, Karel Jaromír.","EMLER, Josef."
2430,,,"WATSON, Henry Crocker Marriott."
2431,,,"Butler, Samuel"
2432,,,"MERIGOT, J."
2433,,,"POYNTER, Eleanor Frances."
2434,,"ERSKINE, James ","Maidment, James"
2435,,,"MACCRINDLE, John Watson."
2436,,"ESCALERA, Evaristo ","GONZALEZ LLANA, Manuel."
2437,,"ESCAMPS, Henry d'.","Grandidier, Alfred"
2438,,"ESCARDÓ, Florencio ","LOPEZ, José Francisco."
2439,,"ESCHASSÉRIAUX, René François Eugène ","AUDIAT, Louis."
2440,,"ESCHER, G. von.","VOGEL, Friedrich "
2441,,"ESPEJO, Gerónimo ","CARRANZA, Ánjel Justiniano."
2442,,"ESPINCHAL, Joseph Thomas d' ","CHAMPFLOUR, Jean Martial de."
2443,,"ESQUIROS, Alphonse.","WRAXALL, Frederick Charles Lascelles "
2444,,"ESQUIROS, Alphonse.","WRAXALL, Frederick Charles Lascelles "
2445,,"ESQUIROS, Alphonse.","WRAXALL, Frederick Charles Lascelles "
2446,,"ESQUIROS, Alphonse.","PLAZA, José Antonio de."
2447,,,"DEMPSTER, Charlotte Louisa Hawkins."
2448,,"ESSENCE, Tom.","RAWLINS, Thomas "
2449,,"ESTALA, Pedro.","Bratring, Friedrich Wilhelm August."
2450,,"ESTLIN, John Prior.","Barbauld, (Anna Letitia) "
2451,,"ESTRÉES, Gabrielle d' ","PASQUIN, Anthony "
2452,,,"PREST, Thomas Peckett."
2453,,,"CARTER, Thomas Buchanan."
2454,,,"B., W."
2455,,,"NOLANDS, Robert "
2456,,"EUDEL DU GORD, Armand.",Charles 
2457,,,"BEACH, Thomas "
2458,,,"BRACHELLI, Hugo Franz von."
2459,,,"BARTLETT, William Henry."
2460,,,"ROUGH, David."
2461,,,"CHIMMO, William."
2462,,EVANS ,"TOWNSEND, George Henry."
2463,,"EVANS, afterwards WILSON, Augusta Jane.","ROBINSON, Emma."
2464,,"EVANS, John ","FERGUSON, James "
2465,,"EVANS, Margaret ","SOUTHALL, Isabel."
2466,,"Evans, William James.","VAIZEY, J. R."
2467,,,Baring
2468,,,"PREST, Thomas Peckett."
2469,,"EVERETT, Edward.","INGERSOLL, Joseph Reed."
2470,,,"ROPARS, Mathieu."
2471,,,"Axon, William E. A.  (William Edward Armytage)"
2472,,,"BARROW, John "
2473,,,"Grand, Sarah."
2474,,"EXQUEMELIN, Alexander Olivier.","Powell, Henry."
2475,,,"KNOX, Vicesimus."
2476,,,"HAILSTONE, Herbert."
2477,,"EYRE, Vincent ","EYRE, Edward "
2478,,"EYZAGUIRRE, Jose Ignacio Victor.","POILLON, Louis "
2479,,"F., B. J.","FLETCHER, John "
2480,,"F., C. G.","FREGE, Christian Gottlieb."
2481,,"F., H.","FREER, Richard Lane."
2482,,"F., J.","BRUCE, John "
2483,,"F., K.","CROFTON, Zachary."
2484,,"F., W.","ORPEN, Richard Caulfield."
2485,,,"Brooke, Henry"
2486,,,"ZONGHI, Aurelio."
2487,,"FABRICIUS, David.","TANNEN, Carl."
2488,,"FABRICIUS, Wilhelm ","DELLIUS, Quintus."
2489,,"Fagalde, Alberto.","BALMACEDA, José Manuel "
2490,,,"BEAL, Samuel."
2491,,,"GILES, Herbert Allen."
2492,,"FAIDHERBE, Louis Léon César ","RIOU, Édouard."
2493,,"FAIRCHILD, George M.","RALPH, Julian."
2494,,"Falconer, Hugh","WALKER, Henry "
2495,,"FALDING, Frederick J.","Coote, Thomas."
2496,,"Falle, Philip","DURELL, Edward "
2497,,,"MOULTRIE, George."
2498,,"FALY, Patrick C.","MACCORMICK, Arthur David."
2499,,,"EYRE, Mary."
2500,,,"POLWHELE, Richard."
2501,,,"LINTON, William James."
2502,,"FARINE, Charles.","ANDRIEUX, Clément Auguste."
2503,,"FARINI, Gilarmi A. ","TRIGANT, L. "
2504,,"FARNIE, Henry Brougham ","MURRAY, Alfred."
2505,,"FARRER, Richard Ridley.","CLIVE, Robert George Windsor "
2506,,,"HUNT, Henry "
2507,,,"MARSDEN, John Howard."
2508,,,MEDINA
2509,,,"Payn, James"
2510,,"FAUCHER, Léon Leonard Joseph.","CULVERWELL, J. P."
2511,,"FAURIEL, Claude Charles.","LALANNE, Marie Ludovic Chrétien."
2512,,"FAUX, William.","BIRKBECK, Morris."
2513,,,"GREENSTREET, James Harris."
2514,,,WOODWARD 
2515,,"FAVRE, Jules Gabriel Claude.","CLARK, H. "
2516,,FAWKES ,"FAWKES, Lionel Grimston."
2517,,"FEARNSIDE, William Gray.","TOMBLESON, William."
2518,,"FEARNSIDE, William Gray ","HARREL, Thomas."
2519,,"FEARON, Henry Bradshaw.","BIRKBECK, Morris."
2520,,"FEARON, Henry Bradshaw.","BIRKBECK, Morris."
2521,,"FEILDEN, Henry Saint Clair.","Etheridge, W. Gray."
2522,,"FELIŃSKA, Ewa.",LACH
2523,,"FELLOWS, Henry Parker.","BEALS, Willis H."
2524,,"FENDALL, Percy ","RUSSELL, Fox."
2525,,"FENNELL, Charlotte ","O'CALLAGHAN, J. P."
2526,,"FENNELL, John.","CROSSE, John "
2527,,,"Braddon, M. E. (Mary Elizabeth)"
2528,,"FERGUSON, Charles D.","WALLACE, Frederick T."
2529,,"FERGUSON, William ","REID, George "
2530,,"Neves, Diocleciano Fernandes das.","NAUTET MONTEIRO, Mariana de."
2531,,"FERNANDES DE QUEIROS, Pedro.","ZARAGOZA, Justo."
2532,,"FERNÁNDEZ, León.","FERNÁNDEZ GUARDIA, Ricardo."
2533,,"FERNANDEZ, Ramón ","SIMON, Jules François."
2534,,"FERNANDEZ DE ECHEVERRÍA Y VEYTIA, Mariano.","ORTEGA, F. "
2535,,"FERNANDEZ DE ENCISO, Martin.","MEDINA, José Toribio."
2536,,"FERNANDEZ DE NAVARRETE, Martin.","BALBI, Adriano."
2537,,"FERNANDEZ DE PIEDRAHITA, Lucas ","ACOSTA, Joaquín."
2538,,"FERNÁNDEZ DURO, Cesáreo.","PEÑALOSA BRICEÑO, Diego Dionisio de."
2539,,"FERNANDEZ Y GONZALEZ, Manuel.","SAVILE, John Horace "
2540,,"FERNOW, Erik.","NORSTEDT, H. O."
2541,,"FERREIRA RIBEIRO, Manuel.","SERPA PINTO, Alexandre Alberto de."
2542,,"FERRER MALDONADO, Lorenzo.","AMORETTI, Carlo."
2543,,"FERRET, Pierre Victor Adolphe ","Galinier, (Joseph Germain) "
2544,,"Ferri, Enrico.","TERRIER, Léon."
2545,,"FERRIER, J. P. ","JESSE, William "
2546,,"FERROLL, Paul.","CLIVE, Caroline."
2547,,"FERROLL, Paul.","CLIVE, Caroline."
2548,,"FERRY, Léo ","DREVET, Xavier."
2549,,"FERRYMAN, Augustus Ferryman Mockler.","DAY, Charles Russell."
2550,,"FÉVAL, Paul Henri Corentin.","WILLIAMS, Henry Llewellyn."
2551,,"Fichte, Johann Gottlieb","FICHTE, Immanuel Hermann von."
2552,,"Fichte, Johann Gottlieb","BARCHOU DE PENHOËN, Auguste Théodore Hilaire "
2553,,,"FORSYTH, William "
2554,,"FIELD, Eugene.","FIELD, Roswell Martin."
2555,,"FIELD, Eugene.","Grahame, Kenneth"
2556,,"Fielding, Henry","CHALMERS, Alexander "
2557,,"Fielding, Henry","Roscoe, Thomas."
2558,,"Fielding, Henry","BROWNE, James P."
2559,,"Fielding, Henry","HERBERT, David "
2560,,"Fielding, Henry","T., G. H."
2561,,"FIELDS, James Thomas ","WHIPPLE, Edwin Percy."
2562,,"FIENNES, Thomas ","TROUGHTON, Richard Zouch S."
2563,,"FIESCO, Manuel.","GERMAIN, Alexandre Charles."
2564,,,"CULHAM, B. P."
2565,,,"BOTTARELLI, Giovanni Gualberto."
2566,,"FIGUIER, Guillaume Louis.","T., E. B."
2567,,"FIGUIER, Guillaume Louis.","WILSON, Robert "
2568,,"FIGUIER, Guillaume Louis.","BRISTOW, Henry William."
2569,,"FIGUIER, Guillaume Louis.","GIRARDET, Carl."
2570,,,"EMERSON, S. R."
2571,,"Filippov, M. M. (Mikhail Mikhaĭlovich)","BILAIGRADSKY, M. D."
2572,,"FILLEMIN, A.","SACHOT, Octave."
2573,,"Finkel, Ludwik","KĘTRZYŃSKI, Stanisław."
2574,,"FINLAYSON, George.","Raffles, Thomas Stamford "
2575,,"FINLEY, Isaac J. ","PUTNAM, Rufus "
2576,,"FINN, James.","BEAUFORT, Emily Anne "
2577,,"FINOT, J. P.","OUDIN, Alphonse."
2578,,"Finsch, O. (Otto)","Brehm, Alfred Edmund"
2579,,"FIÓK, Károly.","HUSZKA, József."
2580,,,"BROUGH, Frances."
2581,,"FISCHER, Christian August.","SHOBERL, Frederick."
2582,,"FISCHER, Christian Friedrich Emmanuel ","STUCKART, Carl Friedrich."
2583,,"FISHER, Richard Swainson.","COLTON, Joseph Hutchinson."
2584,,"FISHER, William Hubbell.","SEYMOUR, Ralph Fletcher."
2585,,"Fiske, John","HILL, Frank Alpine."
2586,,"FISKE, Stephen.","HATTON, Joseph "
2587,,"FITA Y COLOMÉ, Fidel ","FERNÁNDEZ GUERRA Y ORBE, Aureliano."
2588,,"FITCH, George W.","Colton, G. Woolworth (George Woolworth)"
2589,,"FITCHETT, John.","ROSCOE, Robert."
2590,,"FITZARTHUR, Ellen.","BOWLES, afterwards SOUTHEY, Caroline."
2591,,"FITZGERALD, George Robert.","BINGLEY, William "
2592,,"Fitzgerald, Percy Hetherington","LUKER, William."
2593,,FITZ,"LLOYD, S. O."
2594,,FITZ,"YAZUIKOV, Dmitry Ivanovich'."
2595,,"FITZPATRICK, William John.","F., W. J."
2596,,FITZ,"RILEY, Henry Thomas."
2597,,"FITZWILLIAM, William ","BELIN DE LAUNAY, Jules."
2598,,"FLAMMA, Gualvaneus de la.","CERUTI, Antonio."
2599,,"FLAMMERMONT, Jules.","MAUPEOU, René Nicolas Charles Augustin de."
2600,,"FLÉCHIER, Valentin Esprit ","CHÉRUEL, Pierre Adolphe."
2601,,"FLEMING, John ","DUNS, John."
2602,,"Fletcher, Giles","OBOLENSKY, K. M."
2603,,"FLETCHER, John ","Shirley, James"
2604,,"FLETCHER, John ","BROME, Richard."
2605,,"FLETCHER, John ","WILMOT, John "
2606,,"FLETCHER, W. ","NIEMANN, Edmund J."
2607,,,"HOLLINGSWORTH, Nathaniel John."
2608,,,"HOLLINGSWORTH, Nathaniel John."
2609,,"FLEURY, Maurice ","CARRIER, Jean Baptiste "
2610,,"FLIGELY, August von.","STEINHAUSER, Anton."
2611,,"FLINT, Grover.","Fiske, John"
2612,,,"Braddon, M. E. (Mary Elizabeth)"
2613,,,Baring
2614,,"FLOQUET, Pierre Amable.","ROBILLARD DE BEAUREPAIRE, Charles Marie de."
2615,,,"RHODES, Richard "
2616,,,"ROSSO, Giuseppe del."
2617,,,"DILKE, Charles Wentworth "
2618,,,"DILKE, Charles Wentworth "
2619,,"FLOREZ, Henrique.","CANAL, José de la."
2620,,,"GUNN, Barbara."
2621,,"FLORINDO, Andres.","ROA, Martin de."
2622,,,"BROUGHTON, Rhoda."
2623,,"FLOWER, Richard.","BIRKBECK, Morris."
2624,,"FLOWER, Wickham.","PENNELL, Joseph."
2625,,,"WEATHERLY, Frederick Edward."
2626,,"FLOYD, Aurora.","Braddon, M. E. (Mary Elizabeth)"
2627,,"FLOYER, Ernest Ayscoghe.","GOLDSMID, Frederic John "
2628,,"FOCK, Andreas.","MASKELYNE, Mervin Herbert Nevil Story "
2629,,"FOERSTER, Eli.","FOERSTER, Bernhard."
2630,,"FOGAZZARO, Antonio.","SIMEON, Stephen Louis."
2631,,"FOGG, William Perry.","Taylor, Bayard."
2632,,,BARRIÈRE
2633,,"FOKKER, Adriaan Abraham ","MAN, Jan Cornelis de."
2634,,"FOLLIN, Elias.","WIESELGREN, Peter."
2635,,"FONTANE, Marius.","RIOU, Édouard."
2636,,,"POYNTER, Eleanor Frances."
2637,,,"Braddon, M. E. (Mary Elizabeth)"
2638,,,"BEWICKE, afterwards LITTLE, Alicia E. Neva."
2639,,"FOOT, Henry Martyn.","HAY, William "
2640,,"FOPPENS, Hadrianus.","GALESLOOT, Louis."
2641,,"FORBACH, Guillaume de ","GREEN, Samuel Abbott."
2642,,"FORBES, Archibald ","GRIFFITHS, Arthur George Frederick."
2643,,"Forbes, James","MONTALEMBERT, Eliza de "
2644,,"FORD, Henry A. ","FORD, Kate B."
2645,,"FORD, Henry A. ","FORD, Kate B."
2646,,"FORD, John ","GIFFORD, William "
2647,,"FORESTER, Thomas.","BIDDULPH, Michael Anthony Shrapnel "
2648,,,"CASALI, Giovanni."
2649,,"FORMAN, Samuel S.","Draper, Lyman Copeland"
2650,,"FORNIER, Marcellin.","ALBERT, Antoine."
2651,,"FORONDA Y AGUILERA, Manuel de.","GOMEZ DE ARTECHE Y MORO, José."
2652,,"FORREST, John ","ANGAS, George French."
2653,,"FORSTER, Johann Georg Adam.","LEITZMANN, Albert."
2654,,"FORSTER, Jonathan Langstaff.","FORSTER, Henry Langstaff."
2655,,"FORTEGUERRI, Niccolò ","MERIVALE, John Herman "
2656,,"FORTESCUE, John ","FORTESCUE, Thomas "
2657,,,"MAUGHAN, afterwards STORY, Janet Leith."
2658,,"FOSTER, George G. ","English, Thomas Dunn"
2659,,"FOSTER, John ","FAWKES, Walter."
2660,,"FOUCART, Paul ","DURIEUX, Achille."
2661,,,"VEUCLIN, V. E."
2662,,,"SAYERS, Elizabeth."
2663,,"FOUNTAIN, John ","SHADWELL, Thomas "
2664,,"FOURNIER, August ","COBENZL, Johann Ludwig Joseph "
2665,,"Fox, Charles James","SOLTAU, Dietrich Wilhelm."
2666,,"Fox, Charles James","SOMERVILLE, Thomas "
2667,,"Fox, Charles James","STEWART, Charles Edward "
2668,,"Fox, Charles James","TICKELL, Richard."
2669,,"FOX, S. Middleton.","DREW, Dorothea A. H."
2670,,"FOX, William Johnson.","Hodgson, W. B.  (William Ballantyne)"
2671,,"FOY, Maximilien Sébastien ","FOY, Elisabeth Auguste "
2672,,,"BUCHANAN, Robert "
2673,,"FRAIGNEAU, A.","DUBOSC, Georges."
2674,,"FRAIPONT, Gustave.","FOURNIER, Alban."
2675,,,"WEDGWOOD, Frances Julia."
2676,,"FRANCHÈRE, Gabriel.","HUNTINGTON, Jedediah Vincent."
2677,,"FRANCIS, Benjamin ","EVANS, Hugh "
2678,,"FRANCIS, John Wakefield ","TUCKERMAN, Henry Theodore."
2679,,"FRANCIS, M. E. ","FELLOES, Frank."
2680,,,"PINHEIRO CHAGAS, Manuel."
2681,,,"FERNANDES PEREIRA, Antonio."
2682,,"FRANKL, Ludwig August.","BEATON, Patrick."
2683,,"FRANKL, afterwards FRAKNÓI, Vilmos.","SCHWICKER, Johann Heinrich."
2684,,,"BLAKE, Mortimer."
2685,,"Franklin, John ","HUISH, Robert."
2686,,"FRANZOJ, Augusto.","BERTACCHI, Cosimo."
2687,,"FRASER, Thomas Gamble.","MALLESON, George Bruce."
2688,,,"PAE, David "
2689,,"FRAZER, Augustus Simon ","Sabine, Edward "
2690,,"FRAZER, Robert Watson.","MACCORMICK, Arthur David."
2691,,"FRÉCHETTE, Louis Honoré.","COBURN, Frederick Simpson."
2692,,,"HART, Elizabeth Anna."
2693,,"FREDERIC, Harold.","FISHER, Harrison "
2694,,,"BOLLAND, William "
2695,,,"ARNOLD, Samuel James."
2696,,,"ARNOLD, Samuel James."
2697,,"FREELAND, Caroline J.","G., C. J."
2698,,"FREEMAN, Edward Augustus.","COX, George William "
2699,,"FREEMAN, Edward Augustus.","FREEMAN, Florence."
2700,,Freemasons.,"CHETWOOD, William Rufus."
2701,,"FREGEIRO, Clemente L.","ARTIGAS, José Gervasio."
2702,,"FREIER, Wilhelm.","FREIER, Barthold."
2703,,"FREILIGRATH, Ferdinand.","SEELIGER, H. I. D. A."
2704,,"FREIMUND, Adolph ","BOEHMER, Johann Friedrich."
2705,,"FREMONT, Anne A.","FEARN, Joseph."
2706,,,"HENNESSY, W. J."
2707,,,"MARSHALL, Frederic "
2708,,,"EDWARDS, Matilda Barbara Betham."
2709,,,"MURRAY, Eustace Clare Grenville."
2710,,"FRENEAU, Philip Morin.","MILLES, Jay."
2711,,"FRENZEL, Carl ","WENDE, G."
2712,,"FRERE, Arthur Howard ","FRERE, Walter Howard "
2713,,"FRERE, John Hookham ","FRERE, Henry Bartle Edward "
2714,,,"Z., X. Y."
2715,,"FRICKE, Wilhelm ","Varus, Publius Quintilius."
2716,,,"GRAHAM, Scott "
2717,,"FRIES, Theodor Magnus.","NORDENSKIÖLD, Nils Adolf Erik "
2718,,"FRIES, Theodor Magnus ","NYSTRÖM, C."
2719,,"FRIESS, Lorenz ","HENNER, Theodor."
2720,,"FRISI, Antonio Francesco.","MARIMONTI, Giuseppe."
2721,,"FRISWELL, James Hain.","FRISWELL, afterwards MYALL, Laura Hain."
2722,,"FRITH, Francis.","BONOMI, Joseph."
2723,,"FRIZZI, Antonio.","LADERCHI, Cammillo "
2724,,"FROEBEL, Julius ","HEER, Oswald."
2725,,"FROIDOUR, Louis de.","BOURDETTE, Jean."
2726,,"FROISSART, Jean.","LANIER, Sidney Clopton."
2727,,"FROISSART, Jean.","BROWNE, Gordon Frederick."
2728,,"FROMMEL, Carl.","CATEL, Franz."
2729,,,"Boswell, Alexander "
2730,,"FROST, John ","HAWKINS, Armand."
2731,,"FROST, John ","Croome, William"
2732,,"FROTHINGHAM, Richard.","SWETT, Samuel."
2733,,"FRULLANI, Emilio ","GARGANI, Gargano T."
2734,,"FRY, Katharine.","PAGENSTECHER, G. "
2735,,"FRYXELL, Anders.","SCHOULTZ, Anne von."
2736,,"FUERSTENBERG, Ferdinand von ","MICUS, Franz Joseph."
2737,,,"BONAR, Anne."
2738,,"FULLER, Hulbert.","MERRILL, Frank Thayer."
2739,,"FULLER, Thomas ","JESSOPP, Augustus."
2740,,"FULLERTON, Georgiana Charlotte ","BONNEVAL, Judithe Charlotte de "
2741,,"FUNCKE, Franz Philipp ","PFEIFFER, Bertram."
2742,,"FUNES, Gregorio.","ZINNY, Antonio."
2743,,"FURLONG, Lawrence.","BLUNT, Edmund March."
2744,,"FURNEY, Elliott E.","WHITE, Frank Linstow "
2745,,"FUSCO, Giuseppe Maria.","FUSCO, Giovanni Vincenzo."
2746,,"FUSTEL DE COULANGES, Numa Denis.","JULLIAN, Camille."
2747,,"FUTHEY, John Smith ","COPE, Gilbert."
2748,,,"COLTHURST, E."
2749,,F,"WILLIAMS, Charles Hanbury "
2750,,"G., A. N.","GORDON, Arthur Niel."
2751,,"G., Alexis M.","GOCHET, Jean Baptiste."
2752,,"G., Alexis M.","GOCHET, Jean Baptiste."
2753,,"G., Alexis M.","GOCHET, Jean Baptiste."
2754,,"G., Alexis M.","GOCHET, Jean Baptiste."
2755,,"G., C. W.","CONNOR, Ralph "
2756,,"G., E.","GAUTIER, E. "
2757,,"G., G.","HARPER, Henry George."
2758,,"G., G.","HARPER, Henry George."
2759,,"G., G.","HARPER, Henry George."
2760,,"G., K.","GORDON, Catherine Jane Bradby "
2761,,"G., L. E.","GUERNSEY, Lucy Ellen."
2762,,,"BALLANTINE, James "
2763,,"GABRIEL, Charles Nicolas.","BOUILLÉ DU CHARIOL, François Claude Amour de "
2764,,"GABRIEL, Robert Burd.","FUNGUS, Ferdinando "
2765,,"GAILLIARD, B. J.","GAILLIARD, Jean Jacques "
2766,,"GAILLIARD, Jean Jacques ","MUYNCK, J. F. De."
2767,,"GAJ, Francesco ","GUJ, Enrico."
2768,,"GALANTI, Giuseppe Maria.","GALANTI, Luigi."
2769,,"GALE, Norman Rowland.","STRATTON, Helen."
2770,,"GALEN, Philipp ","H., T."
2771,,"Galilei, Galileo","BIRCH, Walter "
2772,,"GALLETTI, Johann Georg August.","REICHARD, Carl."
2773,,"GALLOWAY, George ","SCOTT, Henry "
2774,,"GALO DE CUENDIAS, Manuel ","NANTEUIL, Célestin."
2775,,"GALPIN, B. ","OLIVER, Austin."
2776,,"Galt, John","Ainger, Alfred"
2777,,"GALTON, Arthur.","Cromwell, Thomas "
2778,,"GAMA, Vasco da.","COSTA PAIVA, Antonio da "
2779,,,"GREY, Elizabeth Caroline."
2780,,,"MILNER, Henry M."
2781,,"GÁNDARA, José de la ","MÁRTOS, Cristino."
2782,,"GANEVAL, J. A.","GROFFIER, Valérien Philibert."
2783,,"GANIER, Henry ","FROELICH, Jules."
2784,,"GANS, David ","GRUENWALD, Moriz."
2785,,"GARCAEUS, Joachim.","NIEDERSTADT, Erich."
2786,,,"TOMLINS, Frederick Guest."
2787,,"GARCÍA AYUSO, Francisco.","BAINES, Thomas "
2788,,"GARCÍA Y GARCÍA, José Antonie.","Gómez, Ignacio."
2789,,,"Darwin, Erasmus"
2790,,"GARDIN, Alexandre.","LACROIX, Eugène."
2791,,"GARDINER, Marguerite ","POWER, Marguerite A."
2792,,"GARIBALDI, Giuseppe ","FIELD, Edmund "
2793,,"GARNEAU, François Xavier.","CHAUVEAU, Pierre Joseph Olivier."
2794,,"GARNEAU, François Xavier.","BELL, Andrew "
2795,,"GARNEAU, François Xavier.","BELL, Andrew "
2796,,"GARNETT, afterwards GODWIN, Catherine Grace.","WIGAN, Arthur Cleveland."
2797,,"GARNETT, Jeremiah ","FAWKES, Francis Hawkesworth."
2798,,"GARNETT, Thomas ","KOSEGARTEN, Ludwig Theoboul."
2799,,"GARNIER, Marie Joseph Francis.","GARNIER, Léon "
2800,,"GAROFALO, Raffaele ","CARELLI, Luigi."
2801,,"GARRATT, Thomas ","FORSHAW, Charles Frederick."
2802,,"GARRATT, William Albin.","SMITH, Joseph Denham."
2803,,"GARRICK, David.","CAPELL, Edward."
2804,,"Garrick, David","TASKER, William."
2805,,"Gaskell, Elizabeth Cleghorn","ROBINSON, Thomas Heath."
2806,,"Gaskell, Elizabeth Cleghorn","BROCK, Henry Matthew."
2807,,"Gaskell, Elizabeth Cleghorn","Ritchie, Anne Thackeray"
2808,,"Gaskell, Elizabeth Cleghorn","Du Maurier, George"
2809,,"GASKIN, James J.","DRENNAN, William "
2810,,"Gason, Samuel.","ISAACS, George."
2811,,"GASPARI, Adam Christian.","CANNABICH, Johann Guenther Friedrich."
2812,,"Gaspey, Thomas","TYRRELL, Henry "
2813,,"GASTEIGER, Albert.","KÖNIGS, Julius Joseph."
2814,,"GASTINEAU, Benjamin.","Doré, Gustave"
2815,,"GATIN, Jean Henri ","BESSON, Louis François Nicolas "
2816,,"GAUBIL, Antoine.","CORDIER, Henri."
2817,,,"DROUT, John."
2818,,"Gaulle, Charles de","MASON, J. Davenport."
2819,,,"Aytoun, William Edmondstoune"
2820,,"GAUTIER, Théodore.","GUILLAUME, Paul "
2821,,"GAVENDA, Anton B. von ","RUDTORFFER, Franz von."
2822,,,Baring
2823,,"GAY, John ","SNOW, Thomas "
2824,,"GAY, John ","ERCOLANI, Carlo."
2825,,"GAYOT DE PITAVAL, François.","BLUM, Hans Georg Maximilian."
2826,,"GAZEAU, Antoinette Charlotte ","COSTA DE BEAUREGARD, Charles Albert Marie "
2827,,"GAZZERA, Costanzo.","GIOFFREDO, Pietro."
2828,,"GEDDIE, John ","BROWN, Joseph "
2829,,"GEDDIE, John ","BROWN, Joseph "
2830,,"GEFFCKEN, Friedrich Heinrich.","MACMULLAN, S. J."
2831,,"GEFFROY, Mathieu Auguste.","ANUSIOS, M. N."
2832,,"GEIJER, Erik Gustaf.","LUNDBLAD, Johan Fredrik af."
2833,,"GEIKIE, Archibald ","NALKOWSKI, Wacław."
2834,,"GEIKIE, Archibald ","MURCHISON, Roderick Impey "
2835,,"GEIKIE, John Cunningham.","HARPER, Henry Andrew."
2836,,"GEIST, P. H.","KREENEN, J. J."
2837,,,"DOORNINCK, P. N. van."
2838,,"GELDERN, Wilhelm von.",GELDERN
2839,,"Gell, William ","BUNBURY, Edward Herbert "
2840,,"GELLERT, Christian Fuerchtegott.","DOUGLAS, M. "
2841,,"GELUK, A.","CALAND, Frederik."
2842,,"GEMELLI, Carlo.","ROYER, P."
2843,,,"COVELLE, Alfred Lucien."
2844,,,"LORY, Gabriel "
2845,,,"HIRST, James."
2846,,,"GANDOLFI, Giovanni Cristoforo."
2847,,"GENT, Thomas ","OHLSON, George."
2848,,,"RHODES, George Ambrose."
2849,,,"CURTIS, William "
2850,,,"FOX, S. Middleton."
2851,,George ,"Besant, Walter "
2852,,,"STEPHENS, George "
2853,,,"FRANKLIN, John "
2854,,,"MURAV'EV, Andrei Nikolaevich."
2855,,,"LONGSTREET, Augustus Baldwin."
2856,,,"Braddon, M. E. (Mary Elizabeth)"
2857,,"GERARD, Emily ","GERARD, afterwards LONGARD DE LONGGARDE, Dorothea."
2858,,"GERARD, John ","WINTER, Thomas "
2859,,"GERHARD, Johann.","PAPILLON, William."
2860,,GÉRIN,"CASGRAIN, Henri Raymond."
2861,,"GERLAND, Otto.","GERLAND, Balthasar."
2862,,,"BOTHMER, Mary von "
2863,,,"BOTHMER, Mary von "
2864,,"GEROLD, Rosa von.","FISCHER, Ludwig Hans."
2865,,"GERSTNER, Joseph.","MEDERER, Johann Nepomuk."
2866,,"GERVAIS, Jean.","BABINET DE RENCOGNE, Gustave."
2867,,"GERVINUS, Georg Gottfried.","SERNAU, Moritz."
2868,,"GESLIN DE BOURGOGNE, Jules Henri ","BARTHÉLEMY, Anatole Jean Baptiste Antoine de."
2869,,"GESSI, Romolo.","CAMPERIO, Manfredo."
2870,,"GESSI, Romolo.","GESSI, Felice."
2871,,"GHILLANY, Friedrich Wilhelm.","BEHAIM, Martin."
2872,,"GIBBON, Charles ","CHRISTIE, Mary Elizabeth."
2873,,"GIBBON, Edward ","HOLROYD, John Baker "
2874,,"Gibbon, Edward","Milman, Henry Hart"
2875,,"Gibbon, Edward","SCHREITER, Carl Gottfried."
2876,,"Gibbon, Edward","GUIZOT, François Pierre Guillaume."
2877,,"Gibbon, Edward","BURY, John Bagnell."
2878,,"Gibbon, Edward","ANDERSON, John George Clark."
2879,,"GIBBONS, Alfred St. Hill.","WHYMPER, Charles."
2880,,"GIBBS, Joseph Arthur.","GIBBS, Laura Beatrice."
2881,,,"MANN, J. H. "
